#Title PL_1_Sweep
#Graph Cartesian - Linear Scale
rotation	PL
7.650000e+001	-9.047583e+001
7.675000e+001	-9.150693e+001
7.700000e+001	-9.258000e+001
7.725000e+001	-9.348881e+001
7.750000e+001	-9.388968e+001
7.775000e+001	-9.350785e+001
7.800000e+001	-9.244698e+001
7.825000e+001	-9.106461e+001
7.850000e+001	-8.964122e+001
7.875000e+001	-8.831505e+001
7.900000e+001	-8.713495e+001
7.925000e+001	-8.610445e+001
7.950000e+001	-8.522078e+001
7.975000e+001	-8.447365e+001
8.000000e+001	-8.385502e+001
8.025000e+001	-8.335733e+001
8.050000e+001	-8.297634e+001
8.075000e+001	-8.270894e+001
8.100000e+001	-8.255540e+001
8.125000e+001	-8.251750e+001
8.150000e+001	-8.260042e+001
8.175000e+001	-8.281057e+001
8.200000e+001	-8.315972e+001
8.225000e+001	-8.366146e+001
8.250000e+001	-8.433152e+001
8.275000e+001	-8.518430e+001
8.300000e+001	-8.622130e+001
8.325000e+001	-8.738437e+001
8.350000e+001	-8.846619e+001
8.375000e+001	-8.872277e+001
8.400000e+001	-8.829799e+001
8.425000e+001	-8.697183e+001
8.450000e+001	-8.521960e+001
8.475000e+001	-8.341632e+001
8.500000e+001	-8.172140e+001
8.525000e+001	-8.017406e+001
8.550000e+001	-7.877204e+001
8.575000e+001	-7.749604e+001
8.600000e+001	-7.632550e+001
8.625000e+001	-7.522089e+001
8.650000e+001	-7.420946e+001
8.675000e+001	-7.324873e+001
8.700000e+001	-7.230812e+001
8.725000e+001	-7.134221e+001
8.750000e+001	-7.028041e+001
8.775000e+001	-7.156530e+001
8.800000e+001	-7.113412e+001
8.825000e+001	-7.073281e+001
8.850000e+001	-7.035579e+001
8.875000e+001	-7.000331e+001
8.900000e+001	-7.401861e+001
8.925000e+001	-6.257570e+001
8.950000e+001	-6.243625e+001
8.975000e+001	-6.224255e+001
9.000000e+001	-6.153740e+001
9.025000e+001	-6.224255e+001
9.050000e+001	-6.243625e+001
9.075000e+001	-7.359954e+001
9.100000e+001	-7.401861e+001
9.125000e+001	-7.000331e+001
9.150000e+001	-7.035649e+001
9.175000e+001	-7.073154e+001
9.200000e+001	-7.112882e+001
9.225000e+001	-7.156530e+001
9.250000e+001	-7.028041e+001
9.275000e+001	-7.134221e+001
9.300000e+001	-7.230812e+001
9.325000e+001	-7.324873e+001
9.350000e+001	-7.420946e+001
9.375000e+001	-7.522089e+001
9.400000e+001	-7.632550e+001
9.425000e+001	-7.749604e+001
9.450000e+001	-7.877204e+001
9.475000e+001	-8.017406e+001
9.500000e+001	-8.172140e+001
9.525000e+001	-8.341632e+001
9.550000e+001	-8.521960e+001
9.575000e+001	-8.697183e+001
9.600000e+001	-8.829799e+001
9.625000e+001	-8.872277e+001
9.650000e+001	-8.846619e+001
9.675000e+001	-8.738437e+001
9.700000e+001	-8.622130e+001
9.725000e+001	-8.518430e+001
9.750000e+001	-8.433152e+001
9.775000e+001	-8.366146e+001
9.800000e+001	-8.315972e+001
9.825000e+001	-8.281057e+001
9.850000e+001	-8.260042e+001
9.875000e+001	-8.251750e+001
9.900000e+001	-8.255540e+001
9.925000e+001	-8.270894e+001
9.950000e+001	-8.297634e+001
9.975000e+001	-8.335733e+001
1.000000e+002	-8.385502e+001
1.002500e+002	-8.447365e+001
1.005000e+002	-8.522078e+001
1.007500e+002	-8.610445e+001
1.010000e+002	-8.713495e+001
1.012500e+002	-8.831505e+001
1.015000e+002	-8.964122e+001
1.017500e+002	-9.106461e+001
1.020000e+002	-9.244698e+001
1.022500e+002	-9.350785e+001
1.025000e+002	-9.388968e+001
1.027500e+002	-9.348881e+001
1.030000e+002	-9.258000e+001
1.032500e+002	-9.150693e+001
1.035000e+002	-9.047583e+001
1.037500e+002	-8.957284e+001
1.040000e+002	-8.881899e+001
1.042500e+002	-8.821119e+001
1.045000e+002	-8.774391e+001
1.047500e+002	-8.740426e+001
1.050000e+002	-8.718564e+001
1.052500e+002	-8.707960e+001
1.055000e+002	-8.708125e+001
1.057500e+002	-8.718677e+001
1.060000e+002	-8.739437e+001
1.062500e+002	-8.770273e+001
1.065000e+002	-8.811293e+001
1.067500e+002	-8.862556e+001
1.070000e+002	-8.924258e+001
1.072500e+002	-8.996069e+001
1.075000e+002	-9.077916e+001
1.077500e+002	-9.168147e+001
1.080000e+002	-9.263797e+001
1.082500e+002	-9.358350e+001
1.085000e+002	-9.441296e+001
1.087500e+002	-9.498027e+001
1.090000e+002	-9.516470e+001
1.092500e+002	-9.494287e+001
1.095000e+002	-9.441469e+001
1.097500e+002	-9.372342e+001
1.100000e+002	-9.298989e+001
1.102500e+002	-9.229124e+001
1.105000e+002	-9.166555e+001
1.107500e+002	-9.112986e+001
1.110000e+002	-9.068905e+001
1.112500e+002	-9.034430e+001
1.115000e+002	-9.009260e+001
1.117500e+002	-8.993075e+001
1.120000e+002	-8.985561e+001
1.122500e+002	-8.986437e+001
1.125000e+002	-8.995442e+001
1.127500e+002	-9.012377e+001
1.130000e+002	-9.037090e+001
1.132500e+002	-9.069332e+001
1.135000e+002	-9.108868e+001
1.137500e+002	-9.155243e+001
1.140000e+002	-9.207955e+001
1.142500e+002	-9.265768e+001
1.145000e+002	-9.327024e+001
1.147500e+002	-9.389017e+001
1.150000e+002	-9.447737e+001
1.152500e+002	-9.498191e+001
1.155000e+002	-9.534824e+001
1.157500e+002	-9.553124e+001
1.160000e+002	-9.551304e+001
1.162500e+002	-9.531185e+001
1.165000e+002	-9.497163e+001
1.167500e+002	-9.436995e+001
1.170000e+002	-9.393967e+001
1.172500e+002	-9.354697e+001
1.175000e+002	-9.320276e+001
1.177500e+002	-9.290319e+001
1.180000e+002	-9.263364e+001
1.182500e+002	-9.238183e+001
1.185000e+002	-9.214128e+001
1.187500e+002	-9.192147e+001
1.190000e+002	-9.174219e+001
1.192500e+002	-9.163046e+001
1.195000e+002	-9.161016e+001
1.197500e+002	-9.169615e+001
1.200000e+002	-9.188881e+001
